Tempat Kejadian,Jenis Kekerasan,Banyak Kekerasan yang dialami,Banyak Korban Kekerasan,Usia Korban,Hubungan Pelaku dengan Korban,Mitigasi Resiko
lainnya,penelantaran,1,1,dewasa,suami/istri,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,3
lainnya,seksual,1,1,remaja,pacar/teman,3
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,3
rumah-tangga,fisik,1,1,dewasa,suami/istri,3
rumah-tangga,fisik,1,1,remaja,orang-tua,3
rumah-tangga,psikis,1,1,dewasa,majikan,1
lainnya,lainnya,1,1,remaja,tetangga,1
rumah-tangga,seksual,1,1,dewasa,suami/istri,1
rumah-tangga,psikis,1,1,dewasa,keluarga/saudara,1
tempat-kerja,psikis,1,1,dewasa,suami/istri,1
rumah-tangga,psikis,1,1,dewasa,keluarga/saudara,1
rumah-tangga,psikis,1,1,remaja,orang-tua,1
rumah-tangga,fisik,1,1,balita,orang-tua,3
rumah-tangga,psikis,1,1,remaja,orang-tua,1
rumah-tangga,fisik,1,1,dewasa,suami/istri,3
rumah-tangga,psikis,1,1,anak-anak,lainnya,2
rumah-tangga,psikis,1,1,balita,orang-tua,2
rumah-tangga,seksual,1,1,anak-anak,orang-tua,3
rumah-tangga,psikis,1,1,dewasa,majikan,1
fasilitas-umum,penelantaran,1,1,balita,orang-tua,3
rumah-tangga,seksual,1,1,dewasa,suami/istri,1
rumah-tangga,fisik,1,1,dewasa,majikan,3
lainnya,seksual,1,1,remaja,lainnya,3
rumah-tangga,seksual,2,1,dewasa,lainnya,3
lainnya,penelantaran,1,1,dewasa,suami/istri,2
rumah-tangga,psikis,1,1,dewasa,suami/istri,1
rumah-tangga,seksual,1,1,remaja,pacar/teman,3
rumah-tangga,traficking,1,1,dewasa,suami/istri,3
rumah-tangga,seksual,1,1,dewasa,suami/istri,1
rumah-tangga,seksual,1,1,balita,keluarga/saudara,3
tempat-kerja,seksual,1,1,remaja,pacar/teman,3
rumah-tangga,seksual,1,1,dewasa,majikan,3
rumah-tangga,fisik,1,1,anak-anak,orang-tua,3
rumah-tangga,lainnya,1,1,dewasa,suami/istri,1
rumah-tangga,lainnya,1,2,remaja,lainnya,1
lainnya,fisik,1,1,dewasa,keluarga/saudara,2
sekolah,seksual,1,1,remaja,guru,3
rumah-tangga,fisik,1,1,dewasa,pacar/teman,3
lainnya,seksual,1,1,dewasa,pacar/teman,3
rumah-tangga,psikis,1,1,dewasa,suami/istri,1
rumah-tangga,seksual,1,1,remaja,keluarga/saudara,3
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,3
lainnya,eksploitasi,1,2,dewasa,lainnya,3
fasilitas-umum,seksual,1,1,dewasa,lainnya,2
