tempat,jenis,banyak_kekerasan,banyak_korban,usia,hubungan_pelaku,label
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,orang-tua,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,keluarga/saudara,2
rumah-tangga,fisik,1,1,balita,lainnya,2
rumah-tangga,fisik,1,1,balita,lainnya,2
rumah-tangga,fisik,1,1,balita,lainnya,2
rumah-tangga,fisik,1,1,balita,lainnya,2
rumah-tangga,fisik,1,1,balita,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,orang-tua,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,keluarga/saudara,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,tetangga,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,anak-anak,lainnya,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,orang-tua,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,keluarga/saudara,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,tetangga,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
rumah-tangga,fisik,1,1,remaja,pacar/teman,2
